Timestamp	Main task	Tasks	Batch size	# Epochs	Learning Rate	Model	Input dim	Embedding dim	Hidden dim	Output dim	Dropout	nonlinearity	accuracy	precision	recall	f1-score	loss
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.50775	0.41945760905760904	0.6580833333333334	0.4655242530222205	476.1853177845478
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.673375	0.49619184426684426	0.6518702380952381	0.5326283554905981	14308.898218423128
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.748	0.5385028961778963	0.6594263125763126	0.5702661673990085	14554.857920914888
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.7895625	0.5592628024753025	0.6602125915750917	0.5877771087124367	14664.132413178682
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.76395	0.549505429015429	0.6630697069597069	0.5753451029372567	90660.50021103024
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.7735416666666667	0.5657095998908499	0.666171978021978	0.5829601539802547	252553.49938705564
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.7937321428571429	0.5764591906109764	0.6681031920460493	0.5937043179922863	294964.7015927136
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.80278125	0.5775689373126872	0.6657265109890111	0.5961016493495924	315798.74768951535
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.7785833333333333	0.5703637297887297	0.6647145706145705	0.5874259806211353	323622.50935962796
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.7587125	0.5638169583194583	0.6548331135531136	0.5794970357324933	327961.80486515164
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.7507727272727273	0.5581272311022311	0.6552142100323918	0.5752797324729517	333407.2511484921
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.7485104166666666	0.555784871031746	0.6562320734820735	0.5745825899223512	334978.7920763418
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.7401826923076923	0.5514542159763314	0.6579193498808884	0.5707625965118076	335984.0688593313
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.734875	0.5481229003139718	0.6575938335474049	0.5675194683978172	354133.43641685694
